ID;Creator ;Title;Date;Ancho cm;Alto cm;Format.medium;Archivo;Referentes;url;;
1;Beatriz González;Los Suicidas del Sisga No 1;1965;120;100; Óleo sobre lienzo; suicidas-sisga-1.jpg;1;https://badac.uniandes.edu.co/files/bga-cat/120;;
2;Beatriz González; El Paraíso;1997;160;45;Óleo sobre lienzo;el-paraiso.jpg;"2;3";https://badac.uniandes.edu.co/files/bga-cat/160;;
3;Beatriz González;Zócalo de la tragedia;1983;100;70;Tipografía sobre papel;zocalo-tragedia.jpg;4;https://badac.uniandes.edu.co/files/bga-cat/100;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
